1,1,SALSF2D47CA305941,1
2,2,2G4GU5GV1D9224709,2
3,3,WAUEG94F16N011182,3
4,4,1G4HP57M79U336833,4
5,5,2T1KE4EEXDC541493,5
6,6,WDDHF2EBXBA659567,6
7,7,WVWED7AJ7CW030690,7
8,8,WBSBR93441E328102,8
9,9,3VW517AT2FM570847,9
10,10,1G6DJ5ED0B0941154,10
11,11,1G4HP52KX44657084,11
12,12,WAUFFAFLXFA520173,12
13,13,1C4NJCBA7FD819695,13
14,14,4JGDF2EE8DA863995,14
15,15,JH4DC53876S991927,15
16,16,1C3CDFBB9ED744350,16
17,17,JN8AE2KP5C9368609,17
18,18,YV4952CT6C1341912,18
19,19,1ZVBP8AM3B5270735,19
20,20,JTDJTUD37ED069324,20
21,21,JN8AZ2KR6CT632378,21
22,22,4T1BD1FK4FU637563,22
23,23,SCFFDAAM8EG771943,23
24,24,JN8AZ1FY3CW226570,24
25,25,WAUGL98E06A136610,25
26,26,2V4RW3D11AR344038,26
27,27,JN8AZ2KR8AT059142,27
28,28,WAUPL58E94A624265,28
29,29,WAUVC58E55A164045,29
30,30,WBADN63473G602777,30
31,31,1G6DX67D870456401,31
32,32,WBA3N5C5XEF628992,32
33,33,WBSKG9C56CE231629,33
34,34,3GTU1YEJ4BG742222,34
35,35,3D4PH9FG9BT037072,35
36,36,5FPYK1F23BB787033,36
37,37,1G6DW677870391174,37
38,38,1G6KE54YX1U535485,38
39,39,1GYS4DEF5CR037332,39
40,40,WAUJFAFH1DN854684,40
41,41,2HNYD28798H829719,41
42,42,1FTEX1CW4AK722789,42
43,43,W04GP5EC0B1236469,43
44,44,3D73M3HL5AG690994,44
45,45,SAJWA2GT3EM905630,45
46,46,1GYS3NKJ4FR108767,46
47,47,WDDHH8HBXBA315343,47
48,48,WBADN63411G323872,48
49,49,WAUVFAFH9BN015574,49
50,50,WBAFZ9C52CC854046,50
