1,59,70,96,75,65,97
2,99,62,62,83,1,94
3,6,82,67,99,66,26
4,8,47,76,47,99,83
5,10,23,74,100,55,76
6,70,7,71,24,49,2
7,83,97,46,23,62,18
8,42,77,62,6,55,53
9,29,47,52,18,51,45
10,83,30,68,14,99,38
11,44,37,75,76,96,98
12,9,17,18,13,26,77
13,87,56,21,15,54,9
14,10,72,22,5,58,71
15,90,76,68,5,47,65
16,99,80,37,66,62,90
17,99,66,21,99,100,75
18,35,100,44,52,35,26
19,90,76,51,10,91,23
20,19,59,62,48,7,34
21,70,45,83,24,59,22
22,61,18,14,45,87,3
23,74,24,26,35,60,15
24,38,71,37,24,9,28
25,41,87,61,59,4,11
26,71,42,10,60,7,76
27,15,87,56,38,31,12
28,48,40,50,43,98,28
29,47,78,75,40,80,55
30,95,14,24,69,75,67
31,31,63,85,97,73,18
32,87,96,16,59,57,82
33,12,48,60,95,77,39
34,86,85,60,7,98,90
35,100,38,22,54,35,28
36,49,4,28,86,38,84
37,69,83,59,70,68,98
38,95,83,85,59,9,62
39,69,81,86,30,46,32
40,18,13,10,77,1,75
41,69,94,59,70,10,3
42,69,68,70,99,79,59
43,45,10,30,40,41,14
44,30,32,21,21,23,43
45,3,44,29,32,59,10
46,15,50,19,49,99,92
47,66,33,83,93,64,90
48,31,65,83,51,40,27
49,2,73,37,86,49,17
50,45,36,7,55,43,72
51,51,100,40,63,66,57
52,81,80,61,27,99,25
53,40,13,36,29,18,30
54,33,5,29,78,63,93
55,73,93,32,90,86,44
56,94,68,51,8,90,68
57,89,76,67,57,87,9
58,8,78,80,21,77,73
59,7,23,31,85,43,41
60,63,81,32,86,24,86
61,66,29,80,70,46,63
62,91,40,46,41,48,18
63,95,93,18,12,89,10
64,96,86,50,30,89,62
65,5,99,33,43,46,54
66,32,28,38,28,98,84
67,66,95,18,5,8,26
68,4,20,7,34,62,62
69,96,2,8,2,84,83
70,55,66,11,69,36,5
71,46,76,61,74,67,24
72,81,97,29,31,85,65
73,35,19,60,28,93,35
74,19,92,69,65,80,77
75,16,97,7,61,17,71
76,32,2,42,28,21,38
77,13,28,16,92,15,18
78,95,59,68,38,15,73
79,16,31,30,50,57,6
80,100,27,27,7,15,64
81,98,63,91,60,42,24
82,7,60,76,86,14,65
83,13,92,61,41,33,89
84,80,43,79,88,23,12
85,25,89,29,70,53,1
86,2,24,85,80,33,82
87,66,67,33,9,53,17
88,80,46,24,58,33,99
89,11,67,18,85,13,50
90,72,29,20,30,3,24
91,86,78,76,89,63,48
92,54,6,60,87,41,98
93,44,92,51,55,54,72
94,9,42,31,47,17,90
95,19,10,59,99,96,5
96,93,69,75,64,11,22
97,81,92,18,19,40,27
98,31,42,8,49,98,3
99,18,91,11,67,65,51
100,36,15,42,74,18,89
