1,1,1,13
2,2,2,61
3,3,3,066
4,4,4,5732
5,5,5,4
6,6,6,54032
7,7,7,05
8,8,8,85901
9,9,9,195
10,10,10,9
11,11,11,74
12,12,12,8
13,13,13,0306
14,14,14,5
15,15,15,8
16,16,16,3385
17,17,17,182
18,18,18,2
19,19,19,5
20,20,20,95
21,21,21,9
22,22,22,673
23,23,23,8
24,24,24,0
25,25,25,26502
26,26,26,998
27,27,27,4559
28,28,28,7237
29,29,29,14419
30,30,30,366
31,31,31,719
32,32,32,10
33,33,33,39552
34,34,34,087
35,35,35,52341
36,36,36,807
37,37,37,55
38,38,38,6790
39,39,39,754
40,40,40,40231
41,41,41,4852
42,42,42,2266
43,43,43,25500
44,44,44,8
45,45,45,20
46,46,46,5
47,47,47,05661
48,48,48,39
49,49,49,3668
50,50,50,52
51,51,51,98759
52,52,52,8777
53,53,53,9488
54,54,54,4
55,55,55,8876
56,56,56,63
57,57,57,884
58,58,58,696
59,59,59,8310
60,60,60,52
61,61,61,259
62,62,62,02061
63,63,63,0
64,64,64,88680
65,65,65,630
66,66,66,975
67,67,67,9
68,68,68,64052
69,69,69,57
70,70,70,39260
71,71,71,450
72,72,72,4
73,73,73,09
74,74,74,63590
75,75,75,766
76,76,76,8
77,77,77,02
78,78,78,6702
79,79,79,20
80,80,80,5109
81,81,81,7
82,82,82,83135
83,83,83,15
84,84,84,2911
85,85,85,3498
86,86,86,525
87,87,87,7
88,88,88,250
89,89,89,80510
90,90,90,889
91,91,91,74
92,92,92,107
93,93,93,045
94,94,94,95549
95,95,95,6
96,96,96,703
97,97,97,60950
98,98,98,7
99,99,99,63
100,100,100,023
